episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
0,-10409.62,-34.6987,0.9984,7200,8597,1.1940,201,6.0894,32.8454,5.1572,43844.00,236487.00,12,81
1,-10322.04,-34.4068,0.9968,7200,8617,1.1968,200,6.0501,32.5751,5.1001,43561.00,234541.00,7,34
2,-10230.62,-34.1021,0.9952,7200,8600,1.1944,212,5.9922,32.2761,5.0636,43144.00,232388.00,12,73
3,-10454.80,-34.8493,0.9937,7200,8667,1.2038,199,6.1542,32.9833,5.1903,44310.00,237480.00,14,80
4,-10355.75,-34.5192,0.9921,7200,8583,1.1921,209,6.0572,32.6704,5.1217,43612.00,235227.00,13,99
5,-10155.41,-33.8514,0.9905,7200,8545,1.1868,222,5.9682,32.0181,5.0554,42971.00,230530.00,8,85
6,-10223.01,-34.0767,0.9889,7200,8521,1.1835,199,5.9846,32.2606,5.0599,43089.00,232276.00,11,80
7,-10190.45,-33.9682,0.9873,7200,8659,1.2026,207,5.9949,32.1504,5.0654,43163.00,231483.00,8,55
8,-10211.69,-34.0390,0.9858,7200,8536,1.1856,208,5.9711,32.2201,5.0469,42992.00,231985.00,12,79
9,-10269.13,-34.2304,0.9842,7200,8608,1.1956,212,6.0443,32.3888,5.0929,43519.00,233199.00,15,144
10,-10346.92,-34.4897,0.9826,7200,8669,1.2040,183,6.0585,32.6724,5.1235,43621.00,235241.00,11,92
11,-10013.43,-33.3781,0.9810,7200,8534,1.1853,183,5.9408,31.5857,5.0694,42774.00,227417.00,7,46
12,-10186.71,-33.9557,0.9794,7200,8541,1.1863,205,5.9735,32.1392,5.0499,43009.00,231402.00,15,85
13,-10630.72,-35.4357,0.9778,7200,8603,1.1949,191,6.2006,33.5622,5.1992,44644.00,241648.00,11,74
14,-10511.85,-35.0395,0.9762,7200,8573,1.1907,200,6.1174,33.1807,5.1535,44045.00,238901.00,9,53
15,-10184.28,-33.9476,0.9747,7200,8503,1.1810,200,5.9353,32.1487,5.0114,42734.00,231471.00,5,33
16,-10194.55,-33.9818,0.9731,7200,8513,1.1824,219,5.9649,32.1587,5.0115,42947.00,231543.00,13,83
17,-10346.15,-34.4872,0.9715,7200,8643,1.2004,200,6.0604,32.6463,5.1451,43635.00,235053.00,8,57
18,-10519.80,-35.0660,0.9699,7200,8695,1.2076,211,6.1347,33.2008,5.1553,44170.00,239046.00,12,80
